"No.","Person","Total Gross","# Movies","Average","#1 Picture","Gross"
"146","Claire Danes","$552.8","22","$25.1","Terminator 3","$150.4"
"147","Paul Dano","$554.5","23","$24.1","Cowboys &amp; Aliens","$100.2"
"148","Alexa Davalos","$278.7","5","$55.7","Clash of the Titans","$163.2"
"149","Jack Davenport","$1,164.1","8","$145.5","Dead Man's Chest","$423.3"
"150","Viola Davis","$889.1","19","$46.8","The Help","$169.7"
"151","Rosario Dawson","$867.4","28","$31.0","Men in Black II","$190.4"
"152","Charlie Day","$237.1","3","$79.0","Horrible Bosses","$117.5"
"153","Daniel Day-Lewis","$523.6","15","$34.9","Lincoln","$182.2"
"154","Emilie de Ravin","$64.0","4","$16.0","The Hills Have Eyes","$41.8"
"155","Brooklyn Decker","$209.6","3","$69.9","Just Go With It","$103.0"
"156","Ellen DeGeneres","$426.3","5","$85.3","Finding Nemo","$380.8"
"157","Dane DeHaan","$90.2","5","$18.0","Chronicle","$64.6"
"158","Thomas Dekker","$112.4","5","$22.5","Nightmare on Elm Street","$63.1"
"159","Julie Delpy","$80.0","14","$5.7","American Werewolf in Paris","$26.6"
"160","Judi Dench","$1,666.6","30","$55.6","Skyfall","$304.4"
"161","Robert DeNiro","$2,869.3","72","$39.9","Meet the Fockers","$279.3"
"162","Kat Dennings","$633.7","11","$57.6","Thor","$181.0"
"163","Johnny Depp","$3,070.3","40","$76.8","Dead Man's Chest","$423.3"
"164","Zooey Deschanel","$794.5","24","$33.1","Elf","$173.4"
"165","Adam DeVine","$65.0","1","$65.0","Pitch Perfect","$65.0"
"166","Danny DeVito","$1,826.9","44","$41.5","The Lorax","$214.0"
"167","Jenna Dewan-Tatum","$100.5","4","$25.1","Step Up","$65.3"
"168","Rosemarie DeWitt","$113.8","10","$11.4","The Odd Life of Timothy Green","$51.9"
"169","Cameron Diaz","$2,823.1","31","$91.1","Shrek 2","$441.2"
"170","Leonardo DiCaprio","$2,217.8","23","$96.4","Titanic","$658.7"
"171","Vin Diesel","$1,438.0","15","$95.9","Fast &amp; Furious 6","$238.7"
"172","Matt Dillon","$811.0","38","$21.3","Something About Mary","$176.5"
"173","Snoop Dogg","$281.3","8","$35.2","Starsky and Hutch","$88.2"
"174","Martin Donovan","$186.2","21","$8.9","Insomnia","$67.4"
"175","Portia Doubleday","$88.4","3","$29.5","Big Mommas: Like Father, Like Son","$37.9"
"176","Michael Douglas","$1,571.5","33","$47.6","Fatal Attraction","$156.6"
"177","Robert Downey, Jr.","$3,001.7","49","$61.3","The Avengers","$623.4"
"178","David Duchovny","$285.6","19","$15.0","X-Files","$83.9"
"179","Hilary Duff","$402.3","10","$40.2","Cheaper by the Dozen","$138.6"
"180","Josh Duhamel","$1,336.1","11","$121.5","Transformers 2","$402.1"
"181","Clark Duke","$341.4","7","$48.8","The Croods","$187.2"
"182","Michael Clarke Duncan","$1,201.7","20","$60.1","Armageddon","$201.6"
"183","Kirsten Dunst","$1,756.1","29","$60.6","Spider-Man","$403.7"
"184","Mark Duplass","$4.0","1","$4.0","Safety Not Guaranteed","$4.0"
"185","Robert Duvall","$1,767.3","54","$32.7","Deep Impact","$140.5"
"186","Michael Ealy","$474.8","10","$47.5","Think Like a Man","$91.5"
"187","Clint Eastwood","$1,710.9","46","$37.2","Gran Torino","$148.1"
"188","Aaron Eckhart","$1,231.3","25","$49.3","The Dark Knight","$534.9"
"189","Zac Efron","$637.0","12","$53.1","The Lorax","$214.0"
"190","Colin Egglesfield","$39.1","2","$19.6","Something Borrowed","$39.0"
"191","Jesse Eisenberg","$665.6","18","$37.0","Rio","$143.6"
"192","Idris Elba","$1,151.3","18","$64.0","Thor","$181.0"
"193","Sam Elliott","$707.3","21","$33.7","Hulk","$132.2"
"194","Cary Elwes","$1,297.0","28","$46.3","Twister","$241.7"
"195","Mireille Enos","$202.4","1","$202.4","World War Z","$202.4"
"196","Omar Epps","$353.5","15","$23.6","Scream 2","$101.4"
"197","Chris Evans","$1,326.4","18","$73.7","The Avengers","$623.4"
"198","Alice Eve","$552.6","10","$55.3","Star Trek Into Darkness","$228.8"
"199","Dakota Fanning","$1,406.7","17","$82.7","The Twilight Saga: Eclipse","$300.5"
"200","Anna Faris","$1,425.0","21","$67.9","Alvin and the Chipmunks 2","$219.6"
"201","Chris Farley","$129.7","6","$21.6","Tommy Boy","$32.7"
"202","Vera Farmiga","$628.0","21","$29.9","The Conjuring","$137.4"
"203","Colin Farrell","$1,000.0","29","$34.5","Minority Report","$132.1"
"204","Michael Fassbender","$701.2","15","$46.7","300","$210.6"
"205","Jon Favreau","$1,196.9","15","$79.8","Iron Man 3","$409.0"
"206","Shiloh Fernandez","$102.4","6","$17.1","Evil Dead (2013)","$54.2"
"207","Will Ferrell","$1,512.2","26","$58.2","Elf","$173.4"
"208","America Ferrera","$392.0","12","$32.7","How to Train Your Dragon","$217.6"
"209","Tina Fey","$445.2","7","$63.6","Megamind","$148.4"
"210","Sally Field","$1,857.8","26","$71.5","Forrest Gump","$329.7"
"211","Ralph Fiennes","$2,386.2","30","$79.5","Harry Potter / Deathly Hallows (P2)","$381.0"
"212","Colin Firth","$956.7","27","$35.4","Mamma Mia!","$144.1"
"213","Jenna Fischer","$187.7","8","$23.5","Blades of Glory","$118.6"
"214","Laurence Fishburne","$1,752.6","31","$56.5","Man of Steel","$291.0"
"215","Carrie Fisher","$1,321.8","16","$82.6","Star Wars","$461.0"
"216","Isla Fisher","$1,102.1","14","$78.7","Wedding Crashers","$209.3"
"217","Dan Fogler","$348.3","10","$34.8","Horton Hears a Who!","$154.5"
"218","Harrison Ford","$3,721.4","37","$100.6","Star Wars","$461.0"
"219","Will Forte","$250.1","9","$27.8","Cloudy with a Chance of Meatballs","$124.9"
"220","Ben Foster","$275.0","17","$16.2","Contraband","$66.5"
"221","Jodie Foster","$1,051.7","26","$40.4","Silence of the Lambs","$130.7"
"222","Megan Fox","$825.7","8","$103.2","Transformers 2","$402.1"
"223","Jamie Foxx","$1,550.7","25","$62.0","Django Unchained","$162.8"
"224","Claire Foy","$24.8","1","$24.8","Season of the Witch","$24.8"
"225","Cecile de France","$67.3","7","$9.6","Hereafter","$32.7"
"226","James Franco","$2,071.1","28","$74.0","Spider-Man","$403.7"
"227","Brendan Fraser","$1,040.0","27","$38.5","Mummy Returns","$202.0"
"228","Morgan Freeman","$3,763.8","51","$73.8","The Dark Knight","$534.9"
"229","Anna Friel","$169.4","11","$15.4","Limitless","$79.2"
"230","Nick Frost","$344.4","9","$38.3","Snow White and the Huntsman","$155.3"
"231","Josh Gad","$215.7","8","$27.0","21","$81.2"
"232","Zach Galifianakis","$1,289.7","15","$86.0","The Hangover","$277.3"
"233","Vincent Gallo","$5.1","8","$635k","Buffalo '66","$2.4"
"234","James Gandolfini","$566.9","27","$21.0","Crimson Tide","$91.4"
"235","Romola Garai","$129.6","9","$14.4","Atonement","$50.9"
"236","Andrew Garfield","$384.4","7","$54.9","The Amazing Spider-Man","$262.0"
"237","James Garner","$481.5","13","$37.0","Maverick","$101.6"
"238","Jennifer Garner","$796.1","15","$53.1","Juno","$143.5"
"239","Sarah Michelle Gellar","$627.4","13","$48.3","Scooby-Doo","$153.3"
"240","Richard Gere","$1,375.5","40","$34.4","Pretty Woman","$178.4"
"241","Greta Gerwig","$130.2","12","$10.9","No Strings Attached","$70.7"
"242","Paul Giamatti","$1,410.0","36","$39.2","The Hangover Part II","$254.5"
"243","Mel Gibson","$2,074.5","33","$62.9","Signs","$228.0"
"244","Tyrese Gibson","$1,888.6","13","$145.3","Transformers 2","$402.1"
"245","Cam Gigandet","$440.6","11","$40.1","Twilight","$192.8"
"246","Brendan Gleeson","$1,636.5","36","$45.5","Harry Potter / Goblet of Fire","$290.0"
"247","Danny Glover","$1,308.7","39","$33.6","Lethal Weapon 2","$147.3"
"248","Selena Gomez","$222.3","5","$44.5","Hotel Transylvania","$148.3"
"249","Matthew Goode","$191.7","10","$19.2","Watchmen","$107.5"
"250","Cuba Gooding, Jr.","$1,333.9","27","$49.4","Pearl Harbor","$198.5"
"251","Ginnifer Goodwin","$316.0","8","$39.5","Walk the Line","$119.5"
"252","Keith Gordon","$91.3","1","$91.3","Back to School","$91.3"
"253","Zachary Gordon","$165.7","3","$55.2","Diary of a Wimpy Kid","$64.0"
"254","Joseph Gordon-Levitt","$1,484.6","29","$51.2","The Dark Knight Rises","$448.1"
"255","Ryan Gosling","$403.9","17","$23.8","Crazy, Stupid, Love.","$84.4"
"256","Topher Grace","$591.0","10","$59.1","Spider-Man 3","$336.5"
"257","Kelsey Grammer","$318.3","8","$39.8","X-Men: The Last Stand","$234.4"
"258","Hugh Grant","$857.6","26","$33.0","Notting Hill","$116.1"
"259","Eva Green","$367.2","7","$52.5","Casino Royale","$167.4"
"260","Seth Green","$960.0","19","$50.5","Goldmember","$213.3"
"261","Ashley Greene","$1,368.8","10","$136.9","The Twilight Saga: Eclipse","$300.5"
"262","Clark Gregg","$1,599.3","15","$106.6","The Avengers","$623.4"
"263","Rupert Grint","$2,390.5","13","$183.9","Harry Potter / Deathly Hallows (P2)","$381.0"
"264","Ioan Gruffudd","$476.0","11","$43.3","Fantastic Four","$154.7"
"265","Christopher Guest","$182.8","2","$91.4","Night at the Museum II","$177.2"
"266","Ryan Guzman","$35.1","1","$35.1","Step Up Revolution","$35.1"
"267","Jake Gyllenhaal","$754.8","18","$41.9","The Day After Tomorrow","$186.7"
"268","Maggie Gyllenhaal","$976.0","24","$40.7","The Dark Knight","$534.9"
"269","Lukas Haas","$259.6","21","$12.4","Witness","$68.7"
"270","Corey Haim","$141.1","10","$14.1","The Lost Boys","$32.2"
"271","Jackie Earle Haley","$502.6","13","$38.7","Shutter Island","$128.0"
"272","Rebecca Hall","$609.2","12","$50.8","Iron Man 3","$409.0"
"273","Regina Hall","$668.1","11","$60.7","Scary Movie","$157.0"
"274","Mark Hamill","$1,108.2","9","$123.1","Star Wars","$461.0"
"275","Jon Hamm","$349.5","8","$43.7","Bridesmaids","$169.1"
"276","Armie Hammer","$288.9","5","$57.8","The Social Network","$97.0"
"277","Tom Hanks","$4,174.0","41","$101.8","Toy Story 3","$415.0"
"278","Tom Hardy","$922.6","12","$76.9","The Dark Knight Rises","$448.1"
"279","Woody Harrelson","$1,837.2","45","$40.8","The Hunger Games","$408.0"
"280","Ed Harris","$1,680.9","42","$40.0","National Treasure: Book of Secrets","$220.0"
"281","Jamie Harris","$314.4","7","$44.9","Rise of the Planet of the Apes","$176.8"
"282","Jared Harris","$676.1","22","$30.7","Sherlock Holmes 2","$186.8"
"283","Neil Patrick Harris","$600.6","12","$50.1","The Smurfs","$142.6"
"284","Kevin Hart","$374.3","10","$37.4","Scary Movie 3","$110.0"
"285","Josh Hartnett","$678.4","18","$37.7","Pearl Harbor","$198.5"
"286","Anne Hathaway","$1,944.1","20","$97.2","The Dark Knight Rises","$448.1"
"287","Rutger Hauer","$244.6","25","$9.8","Sin City","$74.1"
"288","Ethan Hawke","$659.2","36","$18.3","Dead Poets Society","$95.9"
"289","Sally Hawkins","$58.8","12","$4.9","Blue Jasmine","$32.7"
"290","Lena Headey","$436.5","17","$25.7","300","$210.6"
"291","Amber Heard","$182.3","10","$18.2","Pineapple Express","$87.3"
"292","Jon Heder","$348.0","7","$49.7","Blades of Glory","$118.6"
"293","Garrett Hedlund","$432.4","8","$54.1","Tron Legacy","$172.1"
"294","Katherine Heigl","$681.4","14","$48.7","Knocked Up","$148.8"
"295","Ed Helms","$1,046.2","9","$116.2","The Hangover","$277.3"
"296","Chris Hemsworth","$1,256.9","9","$139.7","The Avengers","$623.4"
"297","Liam Hemsworth","$804.5","7","$114.9","The Hunger Games","$408.0"
"298","Lance Henriksen","$548.4","24","$22.9","Scream 3","$89.1"
"299","Taraji P. Henson","$806.9","16","$50.4","The Karate Kid","$176.6"
"300","Katharine Hepburn","$194.2","3","$64.7","On Golden Pond","$119.3"
"301","Werner Herzog","$80.4","4","$20.1","Jack Reacher","$80.1"
"302","Jennifer Love Hewitt","$333.6","12","$27.8","Garfield","$75.4"
"303","Tom Hiddleston","$1,110.1","6","$185.0","The Avengers","$623.4"
"304","Freddie Highmore","$404.6","8","$50.6","Charlie and the Chocolate Factory","$206.5"
"305","Jonah Hill","$1,700.8","21","$81.0","How to Train Your Dragon","$217.6"
"306","Dustin Hoffman","$2,131.7","39","$54.7","Meet the Fockers","$279.3"
"307","Philip Seymour Hoffman","$1,587.2","37","$42.9","Twister","$241.7"
"308","Ian Holm","$1,307.6","30","$43.6","Return of the King","$377.8"
"309","Katie Holmes","$495.1","18","$27.5","Batman Begins","$206.9"
"310","Anthony Hopkins","$1,893.3","51","$37.1","Mission: Impossible II","$215.4"
"311","Cody Horn","$154.9","3","$51.6","Magic Mike","$113.7"
"312","Thomas Horn","$31.8","1","$31.8","Extremely Loud &amp; Incredibly Close","$31.8"
"313","Julianne Hough","$201.1","4","$50.3","Safe Haven","$71.3"
"314","Nicholas Hoult","$341.3","7","$48.8","X-Men: First Class","$146.4"
"315","Whitney Houston","$261.6","4","$65.4","Bodyguard","$122.0"
"316","Ron Howard","$139.1","4","$34.8","American Graffiti","$115.0"
"317","Terrence Howard","$1,322.8","31","$42.7","Iron Man","$318.4"
"318","Vanessa Hudgens","$286.0","7","$40.9","Journey 2","$103.9"
"319","Kate Hudson","$574.0","21","$27.3","How to Lose a Guy","$105.8"
"320","Bonnie Hunt","$1,247.5","17","$73.4","Cars","$244.1"
"321","Helen Hunt","$996.9","20","$49.8","Twister","$241.7"
"322","Holly Hunter","$756.2","25","$30.2","The Incredibles","$261.4"
"323","Rosie Huntington-Whiteley","$352.4","1","$352.4","Transformers 3","$352.4"
"324","Josh Hutcherson","$1,212.1","14","$86.6","The Hunger Games","$408.0"
"325","Rhys Ifans","$601.2","23","$26.1","The Amazing Spider-Man","$262.0"
"326","Dustin Ingram","$104.1","2","$52.0","Paranormal Activity 3","$104.0"
"327","Max Irons","$64.3","2","$32.1","Red Riding Hood","$37.7"
"328","Huge Jackman","$1,972.5","21","$93.9","X-Men: The Last Stand","$234.4"
"329","Brandon T. Jackson","$407.3","8","$50.9","Tropic Thunder","$110.5"
"330","Quinton 'Rampage' Jackson","$77.3","2","$38.7","The A-Team","$77.2"
"331","Samuel L. Jackson","$3,682.0","59","$62.4","The Avengers","$623.4"
"332","Kevin James","$1,064.0","9","$118.2","Hitch","$179.5"
"333","Thomas Jane","$208.4","16","$13.0","Deep Blue Sea","$73.6"
"334","Famke Janssen","$1,339.4","30","$44.6","X-Men: The Last Stand","$234.4"
"335","Scarlett Johansson","$1,634.0","28","$58.4","The Avengers","$623.4"
"336","Aaron Johnson","$202.1","8","$25.3","Shanghai Knights","$60.5"
"337","Jake Johnson","$76.3","5","$15.3","No Strings Attached","$70.7"
"338","Angelina Jolie","$1,578.6","28","$56.4","Mr. &amp; Mrs. Smith","$186.3"
"339","January Jones","$377.8","7","$54.0","X-Men: First Class","$146.4"
"340","Rashida Jones","$357.8","10","$35.8","The Social Network","$97.0"
"341","Tommy Lee Jones","$2,492.0","42","$59.3","Men in Black","$250.7"
"342","Michael B. Jordan","$80.7","2","$40.3","Chronicle","$64.6"
"343","Milla Jovovich","$504.2","24","$21.0","Fifth Element","$63.8"
"344","Ashley Judd","$847.4","23","$36.8","Double Jeopardy","$116.7"
"345","Miranda July","$4.5","2","$2.2","Me and You and Everyone We Know","$3.9"
"346","Mindy Kaling","$114.5","2","$57.2","No Strings Attached","$70.7"
"347","Philip Kaufman","$163.2","7","$23.3","Rising Sun","$63.2"
"348","Zoe Kazan","$186.7","11","$17.0","It's Complicated","$112.7"
"349","Diane Keaton","$1,196.7","34","$35.2","The Godfather","$135.0"
"350","Michael Keaton","$1,600.7","30","$53.4","Toy Story 3","$415.0"
"351","Minka Kelly","$37.3","1","$37.3","The Roommate","$37.3"
"352","Alex Kendrick","$78.2","3","$26.1","Courageous","$34.5"
"353","Anna Kendrick","$359.7","11","$32.7","Up in the Air","$83.8"
"354","Nicole Kidman","$1,560.4","37","$42.2","Happy Feet","$198.0"
"355","Val Kilmer","$1,040.5","34","$30.6","Batman Forever","$184.0"
"356","Joey King","$321.0","4","$80.3","The Conjuring","$137.4"
"357","Ben Kingsley","$1,438.5","41","$35.1","Iron Man 3","$409.0"
"358","Greg Kinnear","$1,055.9","33","$32.0","As Good as It Gets","$148.5"
"359","Taylor Kitsch","$423.2","6","$70.5","X-Men Origins: Wolverine","$179.9"
"360","Chris Klein","$481.6","14","$34.4","American Pie 2","$145.1"
"361","Kevin Kline","$950.6","35","$27.2","Wild Wild West","$113.8"
"362","Keira Knightley","$1,331.3","19","$70.1","Dead Man's Chest","$423.3"
